adwaita-icon-theme-3.18.0      GNOME Symbolic Icons
alsa-lib-1.1.2                 ALSA compatibility library
alsa-plugins-1.1.1             ALSA compatibility library plugins
appres-1.0.4                   Program to list application's resources
apr-1.5.2.1.5.4_2              Apache Portability Library
argyllcms-1.7.0_1              ICC compatible color management system
at-spi2-atk-2.18.1             Assisted Technology Provider module for GTK+
at-spi2-core-2.18.3            Assistive Technology Service Provider Interface
atk-2.18.0                     GNOME accessibility toolkit (ATK)
autoconf-2.69_1                Automatically configure source code on many Un*x platforms
autoconf-wrapper-20131203      Wrapper script for GNU autoconf
automake-1.15_1                GNU Standards-compliant Makefile generator
automake-wrapper-20131203      Wrapper script for GNU automake
avahi-app-0.6.31_5             Service discovery on a local network
bash-4.4                       GNU Project's Bourne Again SHell
bigreqsproto-1.1.2             BigReqs extension headers
binutils-2.27_4,1              GNU binary tools
bison-2.7.1,1                  Parser generator from FSF, (mostly) compatible with Yacc
bitmap-1.0.8                   Bitmap editor and converter utilities for X
boehm-gc-7.6.0                 Garbage collection and memory leak detection for C and C++
ca_root_nss-3.27.1             Root certificate bundle from the Mozilla Project
cairo-1.14.6_1,2               Vector graphics library with cross-device output support
colord-1.2.11_1                Manage color profiles to accurately color input/output devices
compositeproto-0.4.2           Composite extension headers
consolekit-0.4.5_4             Framework for defining and tracking users
cups-2.2.1                     Common UNIX Printing System
curl-7.50.3_1                  Non-interactive tool to get files from FTP, GOPHER, HTTP(S) servers
damageproto-1.2.1              Damage extension headers
db5-5.3.28_4                   Oracle Berkeley DB, revision 5.3
dbus-1.8.20                    Message bus system for inter-application communication
dbus-glib-0.104                GLib bindings for the D-BUS messaging system
dejagnu-1.6                    Automated program/system tester
dejavu-2.35                    Bitstream Vera Fonts clone with a wider range of characters
desktop-file-utils-0.22_3      Couple of command line utilities for working with desktop entries
dialog4ports-0.1.6             Console Interface to configure ports
dmidecode-3.0                  Tool for dumping DMI (SMBIOS) contents in human-readable format
dmxproto-2.3.1                 DMX extension headers
docbook-1.5                    Meta-port for the different versions of the DocBook DTD
docbook-sgml-4.5_1             DocBook SGML DTD
docbook-xml-5.0_3              DocBook XML DTD
docbook-xsl-1.76.1_3           XSL DocBook stylesheets
dri-11.2.2,2                   OpenGL hardware acceleration drivers for the DRI
dri2proto-2.8                  DRI2 prototype headers
en-freebsd-doc-49071,1         Documentation from the FreeBSD Documentation Project
encodings-1.0.4_3,1            X.Org Encoding fonts
evieext-1.1.1                  XEVIE extension headers
expat-2.2.0                    XML 1.0 parser written in C
expect-5.45.3                  Sophisticated scripter based on Tcl/Tk
ffmpeg-2.8.8_4,1               Realtime audio/video encoder/converter and streaming server
firefox-49.0.2,1               Web browser based on the browser portion of Mozilla
fixesproto-5.0                 Fixes extension headers
font-adobe-100dpi-1.0.3_3      X.Org Adobe 100dpi font
